Iso Date,Temperature in Celsius
2016-02-24T22:09:44+01:00,  21.6
2016-02-24T22:11:44+01:00,  21.6
2016-02-24T22:13:44+01:00,  21.6
2016-02-24T22:15:44+01:00,  21.6
2016-02-24T22:17:44+01:00,  21.6
2016-02-24T22:19:44+01:00,  21.6
2016-02-24T22:21:44+01:00,  21.6
2016-02-24T22:23:44+01:00,  21.6
2016-02-24T22:25:44+01:00,  21.6
2016-02-24T22:27:44+01:00,  21.6
2016-02-24T22:29:44+01:00,  21.5
2016-02-24T22:31:44+01:00,  21.6
2016-02-24T22:33:44+01:00,  21.6
2016-02-24T22:35:44+01:00,  21.5
2016-02-24T22:37:44+01:00,  21.5
2016-02-24T22:39:44+01:00,  21.5
2016-02-24T22:41:44+01:00,  21.5
2016-02-24T22:43:44+01:00,  21.5
2016-02-24T22:45:44+01:00,  21.5
2016-02-24T22:47:44+01:00,  21.5
2016-02-24T22:49:44+01:00,  21.4
2016-02-24T22:51:44+01:00,  21.4
2016-02-24T22:53:44+01:00,  21.5
2016-02-24T22:55:44+01:00,  21.5
2016-02-24T22:57:44+01:00,  21.5
2016-02-24T22:59:44+01:00,  21.4
2016-02-24T23:01:44+01:00,  21.5
2016-02-24T23:03:44+01:00,  21.4
2016-02-24T23:05:44+01:00,  21.4
2016-02-24T23:07:44+01:00,  21.4
2016-02-24T23:09:44+01:00,  21.4
2016-02-24T23:11:44+01:00,  21.4
2016-02-24T23:13:44+01:00,  21.4
2016-02-24T23:15:44+01:00,  21.4
2016-02-24T23:17:44+01:00,  21.4
2016-02-24T23:19:44+01:00,  21.4
2016-02-24T23:21:44+01:00,  21.4
2016-02-24T23:23:44+01:00,  21.4
2016-02-24T23:25:44+01:00,  21.4
2016-02-24T23:27:44+01:00,  21.4
2016-02-24T23:29:44+01:00,  21.4
2016-02-24T23:31:44+01:00,  21.3
2016-02-24T23:33:45+01:00,  21.3
2016-02-24T23:35:45+01:00,  21.4
2016-02-24T23:37:45+01:00,  21.4
2016-02-24T23:39:45+01:00,  21.4
2016-02-24T23:41:45+01:00,  21.4
2016-02-24T23:43:45+01:00,  21.4
2016-02-24T23:45:45+01:00,  21.4
2016-02-24T23:47:45+01:00,  21.4
2016-02-24T23:49:45+01:00,  21.3
2016-02-24T23:51:45+01:00,  21.4
2016-02-24T23:53:45+01:00,  21.4
2016-02-24T23:55:45+01:00,  21.4
2016-02-24T23:57:45+01:00,  21.3
2016-02-24T23:59:45+01:00,  21.3
2016-02-25T00:01:45+01:00,  21.4
2016-02-25T00:03:45+01:00,  21.3
2016-02-25T00:05:45+01:00,  21.4
2016-02-25T00:07:45+01:00,  21.3
2016-02-25T00:09:45+01:00,  21.4
2016-02-25T00:11:45+01:00,  21.3
2016-02-25T00:13:45+01:00,  21.3
2016-02-25T00:15:45+01:00,  21.3
2016-02-25T00:17:45+01:00,  21.4
2016-02-25T00:19:45+01:00,  21.3
2016-02-25T00:21:45+01:00,  21.3
2016-02-25T00:23:45+01:00,  21.3
2016-02-25T00:25:45+01:00,  21.3
2016-02-25T00:27:45+01:00,  21.3
2016-02-25T00:29:45+01:00,  21.3
2016-02-25T00:31:45+01:00,  21.3
2016-02-25T00:33:45+01:00,  21.3
2016-02-25T00:35:45+01:00,  21.3
2016-02-25T00:37:45+01:00,  21.3
2016-02-25T00:39:45+01:00,  21.3
2016-02-25T00:41:45+01:00,  21.3
2016-02-25T00:43:45+01:00,  21.3
2016-02-25T00:45:45+01:00,  21.3
2016-02-25T00:47:45+01:00,  21.3
2016-02-25T00:49:45+01:00,  21.3
2016-02-25T00:51:45+01:00,  21.3
2016-02-25T00:53:45+01:00,  21.3
2016-02-25T00:55:45+01:00,  21.2
2016-02-25T00:57:45+01:00,  21.2
2016-02-25T00:59:45+01:00,  21.2
2016-02-25T01:01:45+01:00,  21.2
2016-02-25T01:03:45+01:00,  21.2
2016-02-25T01:05:45+01:00,  21.2
2016-02-25T01:07:45+01:00,  21.2
2016-02-25T01:09:45+01:00,  21.2
2016-02-25T01:11:45+01:00,  21.2
2016-02-25T01:13:45+01:00,  21.2
2016-02-25T01:15:45+01:00,  21.2
2016-02-25T01:17:45+01:00,  21.2
2016-02-25T01:19:45+01:00,  21.2
2016-02-25T01:21:45+01:00,  21.2
2016-02-25T01:23:45+01:00,  21.2
2016-02-25T01:25:45+01:00,  21.2
2016-02-25T01:27:45+01:00,  21.2
2016-02-25T01:29:45+01:00,  21.2
2016-02-25T01:31:45+01:00,  21.2
2016-02-25T01:33:45+01:00,  21.2
2016-02-25T01:35:45+01:00,  21.2
2016-02-25T01:37:45+01:00,  21.2
2016-02-25T01:39:45+01:00,  21.2
2016-02-25T01:41:45+01:00,  21.2
2016-02-25T01:43:45+01:00,  21.2
2016-02-25T01:45:45+01:00,  21.1
2016-02-25T01:47:45+01:00,  21.1
2016-02-25T01:49:45+01:00,  21.1
2016-02-25T01:51:45+01:00,  21.2
2016-02-25T01:53:45+01:00,  21.1
2016-02-25T01:55:45+01:00,  21.2
2016-02-25T01:57:45+01:00,  21.2
2016-02-25T01:59:45+01:00,  21.2
2016-02-25T02:01:45+01:00,  21.1
2016-02-25T02:03:45+01:00,  21.1
2016-02-25T02:05:45+01:00,  21.1
2016-02-25T02:07:45+01:00,  21.1
2016-02-25T02:09:45+01:00,  21.1
2016-02-25T02:11:46+01:00,  21.1
2016-02-25T02:13:46+01:00,  21.1
2016-02-25T02:15:46+01:00,  21.1
2016-02-25T02:17:46+01:00,  21.1
2016-02-25T02:19:46+01:00,  21.1
2016-02-25T02:21:46+01:00,  21.1
2016-02-25T02:23:46+01:00,  21.1
2016-02-25T02:25:46+01:00,  21.1
2016-02-25T02:27:46+01:00,  21.1
2016-02-25T02:29:46+01:00,  21.1
2016-02-25T02:31:46+01:00,  21.1
2016-02-25T02:33:46+01:00,  21.1
2016-02-25T02:35:46+01:00,  21.1
2016-02-25T02:37:46+01:00,  21.1
2016-02-25T02:39:46+01:00,  21.0
2016-02-25T02:41:46+01:00,  21.0
2016-02-25T02:43:46+01:00,  21.1
2016-02-25T02:45:46+01:00,  21.0
2016-02-25T02:47:46+01:00,  21.0
2016-02-25T02:49:46+01:00,  21.0
2016-02-25T02:51:46+01:00,  21.0
2016-02-25T02:53:46+01:00,  21.0
2016-02-25T02:55:46+01:00,  21.0
2016-02-25T02:57:46+01:00,  21.0
2016-02-25T02:59:46+01:00,  21.1
2016-02-25T03:01:46+01:00,  21.1
2016-02-25T03:03:46+01:00,  21.0
2016-02-25T03:05:46+01:00,  21.0
2016-02-25T03:07:46+01:00,  21.0
2016-02-25T03:09:46+01:00,  20.9
2016-02-25T03:11:46+01:00,  21.0
2016-02-25T03:13:46+01:00,  21.0
2016-02-25T03:15:46+01:00,  21.0
2016-02-25T03:17:46+01:00,  21.0
2016-02-25T03:19:46+01:00,  21.0
2016-02-25T03:21:46+01:00,  21.0
2016-02-25T03:23:46+01:00,  21.0
2016-02-25T03:25:46+01:00,  21.0
2016-02-25T03:27:46+01:00,  21.0
2016-02-25T03:29:46+01:00,  21.0
2016-02-25T03:31:46+01:00,  21.0
2016-02-25T03:33:46+01:00,  21.0
2016-02-25T03:35:46+01:00,  21.0
2016-02-25T03:37:46+01:00,  21.0
2016-02-25T03:39:47+01:00,  20.9
2016-02-25T03:41:47+01:00,  20.9
2016-02-25T03:43:47+01:00,  21.0
2016-02-25T03:45:47+01:00,  20.9
2016-02-25T03:47:47+01:00,  21.0
2016-02-25T03:49:47+01:00,  21.0
2016-02-25T03:51:47+01:00,  21.0
2016-02-25T03:53:47+01:00,  21.0
2016-02-25T03:55:47+01:00,  20.9
2016-02-25T03:57:47+01:00,  21.0
2016-02-25T03:59:47+01:00,  20.9
2016-02-25T04:01:47+01:00,  20.9
2016-02-25T04:03:47+01:00,  20.9
2016-02-25T04:05:47+01:00,  20.9
2016-02-25T04:07:47+01:00,  20.9
2016-02-25T04:09:47+01:00,  20.9
2016-02-25T04:11:47+01:00,  21.0
2016-02-25T04:13:47+01:00,  21.0
2016-02-25T04:15:47+01:00,  20.9
2016-02-25T04:17:47+01:00,  20.9
2016-02-25T04:19:47+01:00,  20.9
2016-02-25T04:21:47+01:00,  20.9
2016-02-25T04:23:47+01:00,  20.9
2016-02-25T04:25:47+01:00,  20.9
2016-02-25T04:27:47+01:00,  20.9
2016-02-25T04:29:47+01:00,  20.9
2016-02-25T04:31:47+01:00,  20.9
2016-02-25T04:33:47+01:00,  20.9
2016-02-25T04:35:47+01:00,  20.9
2016-02-25T04:37:47+01:00,  20.9
2016-02-25T04:39:47+01:00,  20.8
2016-02-25T04:41:47+01:00,  20.8
2016-02-25T04:43:47+01:00,  20.8
2016-02-25T04:45:47+01:00,  20.9
2016-02-25T04:47:47+01:00,  20.9
2016-02-25T04:49:47+01:00,  20.9
2016-02-25T04:51:47+01:00,  20.8
2016-02-25T04:53:47+01:00,  20.8
2016-02-25T04:55:47+01:00,  20.9
2016-02-25T04:57:47+01:00,  20.8
2016-02-25T04:59:47+01:00,  20.8
2016-02-25T05:01:47+01:00,  20.8
2016-02-25T05:03:47+01:00,  20.8
2016-02-25T05:05:47+01:00,  20.8
2016-02-25T05:07:47+01:00,  20.8
2016-02-25T05:09:47+01:00,  20.8
2016-02-25T05:11:47+01:00,  20.8
2016-02-25T05:13:47+01:00,  20.8
2016-02-25T05:15:48+01:00,  20.8
2016-02-25T05:17:48+01:00,  20.8
2016-02-25T05:19:48+01:00,  20.8
2016-02-25T05:21:48+01:00,  20.8
2016-02-25T05:23:48+01:00,  20.8
2016-02-25T05:25:48+01:00,  20.8
2016-02-25T05:27:48+01:00,  20.7
2016-02-25T05:29:48+01:00,  20.7
2016-02-25T05:31:48+01:00,  20.8
2016-02-25T05:33:48+01:00,  20.8
2016-02-25T05:35:48+01:00,  20.8
2016-02-25T05:37:48+01:00,  20.8
2016-02-25T05:39:48+01:00,  20.8
2016-02-25T05:41:48+01:00,  20.8
2016-02-25T05:43:48+01:00,  20.8
2016-02-25T05:45:48+01:00,  20.8
2016-02-25T05:47:48+01:00,  20.8
2016-02-25T05:49:48+01:00,  20.8
2016-02-25T05:51:48+01:00,  20.8
2016-02-25T05:53:48+01:00,  20.8
2016-02-25T05:55:48+01:00,  20.8
2016-02-25T05:57:48+01:00,  20.8
2016-02-25T05:59:48+01:00,  20.8
2016-02-25T06:01:48+01:00,  20.8
2016-02-25T06:03:48+01:00,  20.8
2016-02-25T06:05:48+01:00,  20.8
2016-02-25T06:07:48+01:00,  20.8
2016-02-25T06:09:48+01:00,  20.8
2016-02-25T06:11:48+01:00,  20.7
2016-02-25T06:13:48+01:00,  20.8
2016-02-25T06:15:48+01:00,  20.8
2016-02-25T06:17:48+01:00,  20.8
2016-02-25T06:19:48+01:00,  20.8
2016-02-25T06:21:48+01:00,  20.8
2016-02-25T06:23:48+01:00,  20.8
2016-02-25T06:25:48+01:00,  20.7
2016-02-25T06:27:48+01:00,  20.7
2016-02-25T06:29:48+01:00,  20.7
2016-02-25T06:31:48+01:00,  20.7
2016-02-25T06:33:48+01:00,  20.7
2016-02-25T06:35:48+01:00,  20.7
2016-02-25T06:37:48+01:00,  20.7
2016-02-25T06:39:48+01:00,  20.4
2016-02-25T06:41:48+01:00,  19.6
2016-02-25T06:43:48+01:00,  19.2
2016-02-25T06:45:48+01:00,  19.0
2016-02-25T06:47:48+01:00,  18.5
2016-02-25T06:49:48+01:00,  18.2
2016-02-25T06:51:48+01:00,  17.5
2016-02-25T06:53:48+01:00,  17.3
2016-02-25T06:55:48+01:00,  17.2
2016-02-25T06:57:48+01:00,  17.4
2016-02-25T06:59:48+01:00,  17.8
2016-02-25T07:01:48+01:00,  18.3
2016-02-25T07:03:48+01:00,  18.6
2016-02-25T07:05:48+01:00,  18.9
2016-02-25T07:07:48+01:00,  19.2
2016-02-25T07:09:48+01:00,  19.4
2016-02-25T07:11:48+01:00,  19.6
2016-02-25T07:13:48+01:00,  19.7
2016-02-25T07:15:48+01:00,  19.8
2016-02-25T07:17:48+01:00,  19.9
2016-02-25T07:19:48+01:00,  20.0
2016-02-25T07:21:48+01:00,  20.1
2016-02-25T07:23:48+01:00,  20.2
2016-02-25T07:25:48+01:00,  20.3
2016-02-25T07:27:48+01:00,  20.3
2016-02-25T07:29:48+01:00,  20.4
2016-02-25T07:31:48+01:00,  20.6
2016-02-25T07:33:48+01:00,  20.7
2016-02-25T07:35:48+01:00,  20.9
2016-02-25T07:37:48+01:00,  21.0
2016-02-25T07:39:48+01:00,  21.1
2016-02-25T07:41:48+01:00,  21.3
2016-02-25T07:43:48+01:00,  21.8
2016-02-25T07:45:48+01:00,  21.7
2016-02-25T07:47:48+01:00,  21.7
2016-02-25T07:49:48+01:00,  21.6
2016-02-25T07:51:48+01:00,  21.7
2016-02-25T07:53:48+01:00,  22.1
2016-02-25T07:55:48+01:00,  22.7
2016-02-25T07:57:48+01:00,  23.0
2016-02-25T07:59:48+01:00,  23.2
2016-02-25T08:01:48+01:00,  23.2
2016-02-25T08:03:48+01:00,  23.2
2016-02-25T08:05:48+01:00,  23.3
2016-02-25T08:07:49+01:00,  23.3
2016-02-25T08:09:49+01:00,  23.5
2016-02-25T08:11:49+01:00,  23.5
2016-02-25T08:13:49+01:00,  23.3
2016-02-25T08:15:49+01:00,  21.9
2016-02-25T08:17:49+01:00,  21.1
2016-02-25T08:19:49+01:00,  21.3
2016-02-25T08:21:49+01:00,  21.7
2016-02-25T08:23:49+01:00,  22.1
2016-02-25T08:25:49+01:00,  21.9
2016-02-25T08:27:49+01:00,  21.6
2016-02-25T08:29:49+01:00,  21.6
2016-02-25T08:31:49+01:00,  21.6
2016-02-25T08:33:49+01:00,  21.6
2016-02-25T08:35:49+01:00,  21.6
2016-02-25T08:37:49+01:00,  21.7
2016-02-25T08:39:49+01:00,  21.7
2016-02-25T08:41:49+01:00,  21.9
2016-02-25T08:43:49+01:00,  21.9
2016-02-25T08:45:49+01:00,  21.9
2016-02-25T08:47:49+01:00,  22.4
2016-02-25T08:49:49+01:00,  22.9
2016-02-25T08:51:49+01:00,  22.7
2016-02-25T08:53:49+01:00,  23.4
2016-02-25T08:55:49+01:00,  23.3
2016-02-25T08:57:49+01:00,  23.7
2016-02-25T08:59:49+01:00,  23.7
2016-02-25T09:01:49+01:00,  23.3
2016-02-25T09:03:49+01:00,  23.0
2016-02-25T09:05:49+01:00,  22.8
2016-02-25T09:07:49+01:00,  22.8
2016-02-25T09:09:49+01:00,  22.8
2016-02-25T09:11:49+01:00,  22.9
2016-02-25T09:13:49+01:00,  22.9
2016-02-25T09:15:49+01:00,  22.9
2016-02-25T09:17:49+01:00,  23.0
2016-02-25T09:19:49+01:00,  23.5
2016-02-25T09:21:49+01:00,  23.5
2016-02-25T09:23:49+01:00,  23.6
2016-02-25T09:25:50+01:00,  23.8
2016-02-25T09:27:50+01:00,  24.3
2016-02-25T09:29:50+01:00,  24.9
2016-02-25T09:31:50+01:00,  24.5
2016-02-25T09:33:50+01:00,  24.8
2016-02-25T09:35:50+01:00,  24.1
2016-02-25T09:37:50+01:00,  23.9
